国,自然,観光地,美味しいご飯,都会,おしゃれ,金持ち,物価が低い,世界遺産,平和,衛生的,若者,海,暑い,人口が多い,美術,音楽,ワクワクする,人情,ショッピング,スポーツ,行ってみたい,近未来,行きやすい,住みたい
アメリカ,3,3,4,9,4,7,0,4,1,3,5,9,7,7,0,9,8,2,8,10,8,7,2,7
韓国,0,5,3,7,8,1,3,0,3,1,10,2,0,5,0,12,10,0,6,5,5,2,8,4
中国,0,0,0,1,1,1,2,1,1,0,4,0,0,6,0,1,0,0,0,0,2,2,8,1
オランダ,2,0,1,1,3,1,0,1,7,7,2,6,0,0,5,0,2,4,2,3,2,0,0,3
スイス,7,3,2,1,0,1,0,3,6,6,2,2,0,0,0,0,0,3,0,0,0,0,0,1
オーストラリア,5,0,2,4,2,5,1,4,1,2,1,7,0,2,3,0,0,6,5,6,3,0,3,6
フランス,1,7,11,3,6,7,0,6,4,6,1,0,0,0,9,0,3,4,5,2,5,0,1,2
アイスランド,5,0,1,1,1,2,0,2,1,2,0,0,0,0,0,0,0,1,0,6,1,0,0,1
インド,2,6,1,0,0,1,10,2,0,0,0,2,10,5,2,3,0,4,2,0,1,9,2,0
タイ,1,1,4,0,0,0,12,1,3,0,2,2,7,3,0,0,0,2,5,0,3,1,2,0
エジプト,4,0,1,1,1,1,2,2,0,0,0,0,5,2,8,0,6,0,4,0,3,0,0,0
イギリス,0,5,0,2,4,3,0,4,3,3,3,0,0,0,3,5,1,1,2,1,4,1,0,4
